image,annotation,Mask
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0075.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0075.xml,Data_Set_Larch_Casebearer/Masks/B04_0075.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0029.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0029.xml,Data_Set_Larch_Casebearer/Masks/B04_0029.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0005.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0005.xml,Data_Set_Larch_Casebearer/Masks/B04_0005.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0145.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0145.xml,Data_Set_Larch_Casebearer/Masks/B04_0145.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0083.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0083.xml,Data_Set_Larch_Casebearer/Masks/B04_0083.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0068.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0068.xml,Data_Set_Larch_Casebearer/Masks/B04_0068.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0026.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0026.xml,Data_Set_Larch_Casebearer/Masks/B04_0026.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0086.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0086.xml,Data_Set_Larch_Casebearer/Masks/B04_0086.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0108.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0108.xml,Data_Set_Larch_Casebearer/Masks/B04_0108.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0165.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0165.xml,Data_Set_Larch_Casebearer/Masks/B04_0165.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0170.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0170.xml,Data_Set_Larch_Casebearer/Masks/B04_0170.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0151.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0151.xml,Data_Set_Larch_Casebearer/Masks/B04_0151.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0178.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0178.xml,Data_Set_Larch_Casebearer/Masks/B04_0178.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0160.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0160.xml,Data_Set_Larch_Casebearer/Masks/B04_0160.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0138.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0138.xml,Data_Set_Larch_Casebearer/Masks/B04_0138.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0150.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0150.xml,Data_Set_Larch_Casebearer/Masks/B04_0150.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0128.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0128.xml,Data_Set_Larch_Casebearer/Masks/B04_0128.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0148.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0148.xml,Data_Set_Larch_Casebearer/Masks/B04_0148.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0028.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0028.xml,Data_Set_Larch_Casebearer/Masks/B04_0028.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0117.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0117.xml,Data_Set_Larch_Casebearer/Masks/B04_0117.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0110.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0110.xml,Data_Set_Larch_Casebearer/Masks/B04_0110.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0078.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0078.xml,Data_Set_Larch_Casebearer/Masks/B04_0078.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0087.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0087.xml,Data_Set_Larch_Casebearer/Masks/B04_0087.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0031.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0031.xml,Data_Set_Larch_Casebearer/Masks/B04_0031.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0106.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0106.xml,Data_Set_Larch_Casebearer/Masks/B04_0106.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0074.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0074.xml,Data_Set_Larch_Casebearer/Masks/B04_0074.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0139.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0139.xml,Data_Set_Larch_Casebearer/Masks/B04_0139.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0014.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0014.xml,Data_Set_Larch_Casebearer/Masks/B04_0014.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0008.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0008.xml,Data_Set_Larch_Casebearer/Masks/B04_0008.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0049.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0049.xml,Data_Set_Larch_Casebearer/Masks/B04_0049.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0023.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0023.xml,Data_Set_Larch_Casebearer/Masks/B04_0023.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0122.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0122.xml,Data_Set_Larch_Casebearer/Masks/B04_0122.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0177.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0177.xml,Data_Set_Larch_Casebearer/Masks/B04_0177.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0100.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0100.xml,Data_Set_Larch_Casebearer/Masks/B04_0100.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0120.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0120.xml,Data_Set_Larch_Casebearer/Masks/B04_0120.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0103.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0103.xml,Data_Set_Larch_Casebearer/Masks/B04_0103.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0085.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0085.xml,Data_Set_Larch_Casebearer/Masks/B04_0085.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0033.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0033.xml,Data_Set_Larch_Casebearer/Masks/B04_0033.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0016.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0016.xml,Data_Set_Larch_Casebearer/Masks/B04_0016.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0131.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0131.xml,Data_Set_Larch_Casebearer/Masks/B04_0131.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0052.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0052.xml,Data_Set_Larch_Casebearer/Masks/B04_0052.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0024.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0024.xml,Data_Set_Larch_Casebearer/Masks/B04_0024.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0019.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0019.xml,Data_Set_Larch_Casebearer/Masks/B04_0019.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0060.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0060.xml,Data_Set_Larch_Casebearer/Masks/B04_0060.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0081.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0081.xml,Data_Set_Larch_Casebearer/Masks/B04_0081.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0013.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0013.xml,Data_Set_Larch_Casebearer/Masks/B04_0013.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0092.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0092.xml,Data_Set_Larch_Casebearer/Masks/B04_0092.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0038.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0038.xml,Data_Set_Larch_Casebearer/Masks/B04_0038.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0093.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0093.xml,Data_Set_Larch_Casebearer/Masks/B04_0093.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0142.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0142.xml,Data_Set_Larch_Casebearer/Masks/B04_0142.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0141.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0141.xml,Data_Set_Larch_Casebearer/Masks/B04_0141.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0157.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0157.xml,Data_Set_Larch_Casebearer/Masks/B04_0157.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0112.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0112.xml,Data_Set_Larch_Casebearer/Masks/B04_0112.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0035.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0035.xml,Data_Set_Larch_Casebearer/Masks/B04_0035.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0044.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0044.xml,Data_Set_Larch_Casebearer/Masks/B04_0044.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0082.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0082.xml,Data_Set_Larch_Casebearer/Masks/B04_0082.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0090.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0090.xml,Data_Set_Larch_Casebearer/Masks/B04_0090.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0064.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0064.xml,Data_Set_Larch_Casebearer/Masks/B04_0064.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0004.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0004.xml,Data_Set_Larch_Casebearer/Masks/B04_0004.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0163.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0163.xml,Data_Set_Larch_Casebearer/Masks/B04_0163.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0011.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0011.xml,Data_Set_Larch_Casebearer/Masks/B04_0011.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0154.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0154.xml,Data_Set_Larch_Casebearer/Masks/B04_0154.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0095.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0095.xml,Data_Set_Larch_Casebearer/Masks/B04_0095.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0036.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0036.xml,Data_Set_Larch_Casebearer/Masks/B04_0036.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0079.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0079.xml,Data_Set_Larch_Casebearer/Masks/B04_0079.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0116.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0116.xml,Data_Set_Larch_Casebearer/Masks/B04_0116.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0179.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0179.xml,Data_Set_Larch_Casebearer/Masks/B04_0179.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0098.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0098.xml,Data_Set_Larch_Casebearer/Masks/B04_0098.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0010.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0010.xml,Data_Set_Larch_Casebearer/Masks/B04_0010.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0104.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0104.xml,Data_Set_Larch_Casebearer/Masks/B04_0104.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0032.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0032.xml,Data_Set_Larch_Casebearer/Masks/B04_0032.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0037.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0037.xml,Data_Set_Larch_Casebearer/Masks/B04_0037.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0025.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0025.xml,Data_Set_Larch_Casebearer/Masks/B04_0025.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0058.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0058.xml,Data_Set_Larch_Casebearer/Masks/B04_0058.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0053.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0053.xml,Data_Set_Larch_Casebearer/Masks/B04_0053.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0073.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0073.xml,Data_Set_Larch_Casebearer/Masks/B04_0073.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0180.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0180.xml,Data_Set_Larch_Casebearer/Masks/B04_0180.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0080.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0080.xml,Data_Set_Larch_Casebearer/Masks/B04_0080.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0088.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0088.xml,Data_Set_Larch_Casebearer/Masks/B04_0088.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0144.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0144.xml,Data_Set_Larch_Casebearer/Masks/B04_0144.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0130.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0130.xml,Data_Set_Larch_Casebearer/Masks/B04_0130.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0015.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0015.xml,Data_Set_Larch_Casebearer/Masks/B04_0015.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0099.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0099.xml,Data_Set_Larch_Casebearer/Masks/B04_0099.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0121.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0121.xml,Data_Set_Larch_Casebearer/Masks/B04_0121.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0034.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0034.xml,Data_Set_Larch_Casebearer/Masks/B04_0034.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0107.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0107.xml,Data_Set_Larch_Casebearer/Masks/B04_0107.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0043.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0043.xml,Data_Set_Larch_Casebearer/Masks/B04_0043.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0123.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0123.xml,Data_Set_Larch_Casebearer/Masks/B04_0123.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0084.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0084.xml,Data_Set_Larch_Casebearer/Masks/B04_0084.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0135.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0135.xml,Data_Set_Larch_Casebearer/Masks/B04_0135.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0050.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0050.xml,Data_Set_Larch_Casebearer/Masks/B04_0050.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0126.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0126.xml,Data_Set_Larch_Casebearer/Masks/B04_0126.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0039.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0039.xml,Data_Set_Larch_Casebearer/Masks/B04_0039.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0057.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0057.xml,Data_Set_Larch_Casebearer/Masks/B04_0057.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0030.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0030.xml,Data_Set_Larch_Casebearer/Masks/B04_0030.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0125.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0125.xml,Data_Set_Larch_Casebearer/Masks/B04_0125.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0040.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0040.xml,Data_Set_Larch_Casebearer/Masks/B04_0040.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0022.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0022.xml,Data_Set_Larch_Casebearer/Masks/B04_0022.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0072.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0072.xml,Data_Set_Larch_Casebearer/Masks/B04_0072.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0069.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0069.xml,Data_Set_Larch_Casebearer/Masks/B04_0069.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0168.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0168.xml,Data_Set_Larch_Casebearer/Masks/B04_0168.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0176.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0176.xml,Data_Set_Larch_Casebearer/Masks/B04_0176.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0161.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0161.xml,Data_Set_Larch_Casebearer/Masks/B04_0161.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0113.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0113.xml,Data_Set_Larch_Casebearer/Masks/B04_0113.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0140.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0140.xml,Data_Set_Larch_Casebearer/Masks/B04_0140.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0166.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0166.xml,Data_Set_Larch_Casebearer/Masks/B04_0166.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0119.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0119.xml,Data_Set_Larch_Casebearer/Masks/B04_0119.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0167.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0167.xml,Data_Set_Larch_Casebearer/Masks/B04_0167.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0041.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0041.xml,Data_Set_Larch_Casebearer/Masks/B04_0041.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0054.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0054.xml,Data_Set_Larch_Casebearer/Masks/B04_0054.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0101.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0101.xml,Data_Set_Larch_Casebearer/Masks/B04_0101.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0162.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0162.xml,Data_Set_Larch_Casebearer/Masks/B04_0162.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0091.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0091.xml,Data_Set_Larch_Casebearer/Masks/B04_0091.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0046.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0046.xml,Data_Set_Larch_Casebearer/Masks/B04_0046.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0012.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0012.xml,Data_Set_Larch_Casebearer/Masks/B04_0012.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0114.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0114.xml,Data_Set_Larch_Casebearer/Masks/B04_0114.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0042.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0042.xml,Data_Set_Larch_Casebearer/Masks/B04_0042.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0129.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0129.xml,Data_Set_Larch_Casebearer/Masks/B04_0129.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0109.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0109.xml,Data_Set_Larch_Casebearer/Masks/B04_0109.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0136.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0136.xml,Data_Set_Larch_Casebearer/Masks/B04_0136.png
Data_Set_Larch_Casebearer/Kampe_20190527/Images/B04_0007.JPG,Data_Set_Larch_Casebearer/Kampe_20190527/Annotations/B04_0007.xml,Data_Set_Larch_Casebearer/Masks/B04_0007.png
